new	title	writer	pony	dialog
1	Friendship is Magic, part 1	Lauren Faust	Narrator	She vowed that she would shroud the land in eternal night. Reluctantly, the elder sister harnessed the most powerful magic known to ponydom: the Elements of Harmony. Using the magic of the Elements of Harmony, she defeated her younger sister, and banished her permanently in the moon. The elder sister took on responsibility for both...
2	Friendship is Magic, part 1	Lauren Faust	Twilight Sparkle	...sun and moon...
3	Friendship is Magic, part 1	Lauren Faust	Twilight Sparkle	...and harmony has been maintained in Equestria for generations since. Hmm... Elements of Harmony. I know I've heard of those before... but where?
4	Friendship is Magic, part 1	Lauren Faust	Twinkleshine	There you are, Twilight! Moon Dancer is having a little get-together in the west castle courtyard. You wanna come?
